Institution,Alumni,Award,HiCi,N&S,PUB,PCP
Kent State University,0,0,5.1,13,22.4,14
Syracuse University,0,0,8.1,8.1,24.8,13.1
University of Cagliari,0,0,10.1,3.9,24.4,16.9
"University of Science, Malaysia",0,0,5,3.8,31.4,15.1
Tokyo University of Science,0,0,7.1,8.4,22.9,16.3
York University,0,0,0,10.1,30.6,12.4
Waseda University,0,0,6.1,7.7,28.1,10.3
University of Halle-Wittenberg,0,6.7,3.6,11.3,25.7,13.6
University of Rennes 1,0,0,3.6,9.2,28.2,11.1
University of Warsaw,15.8,0,0,8.6,30.6,15.6
Istanbul University,13.9,0,0,3.3,34.9,16.9
Technical University Darmstadt,14.9,0,3.6,7.9,27.4,14.3
Utah State University,13.9,0,3.6,10.5,23.8,14.7
Medical University of Graz,0,9.4,3.6,4.4,24.8,22
Victoria University of Wellington,11.8,0,0,8.4,25,18.4
Tilburg University,0,0,0,,28.1,21.2
Saint Petersburg State University,27.3,0,0,6.1,28,16
Cairo University,19.7,0,0,3.8,29.7,15.3
Technical University of Braunschweig,12.9,0,3.6,9.3,21.3,11.8
University of Essex,19.7,0,8.6,1.5,20.1,19.3
Saint Louis University,0,11.5,5.1,4.6,24.2,11.5
City University of New York City College,29.3,0,5.1,8.4,17.9,18.4
Osaka City University,15.8,0,3.6,6.5,21.5,13.9
ESPCI ParisTech,7.4,18.8,0,9.5,15.5,28.9
State University of New York Health Science Center at Brooklyn,0,15.4,5.1,7.1,16.3,17.5
University of Szeged,0,13.3,3.6,5.7,21.6,12.3
University of Graz,7.4,9.4,0,6.3,19.1,16.3
University of Paris Dauphine (Paris 9),15.8,26.6,3.6,0,13.6,23.1
Stockholm School of Economics,0,16.3,0,,9.4,37.9
MINES ParisTech,13.9,24.9,0,3.8,8.1,13.1
